Element, Tm /K,  Tb /K
H,       14.0,   20.3
He,        1.8,    4.2
Li,      453.7, 1603.0
Be,     1560.0, 2742.0
B,     2349.0, 4200.0
C,     3800.0, 4300.0
N,       63.2,   77.4
O,       54.4,   90.2
F,       53.5,   85.0
Ne,       24.6,   27.1
Na,      370.9, 1156.1
Mg,      923.0, 1363.0
Al,      933.5, 2743.0
Si,     1687.0, 3538.0
P,      317.3,  550.0
S,      368.4,  717.8
Cl,      171.6,  239.1
Ar,       83.8,   87.3
K,      336.7, 1032.0
Ca,     1115.0, 1757.0
Sc,     1814.0, 3109.0
Ti,     1941.0, 3560.0
V,     2183.0, 3680.0
Cr,     2180.0, 2755.0
Mn,     1519.0, 2334.0
Fe,     1811.0, 3134.0
Co,     1768.0, 3200.0
Ni,     1728.0, 3003.0
Cu,     1357.8, 2835.0
Zn,      692.7, 1180.0
Ga,      302.9, 2673.0
Ge,     1211.4, 3106.0
As,     1090.0,  887.0
Se,      494.0,  958.0
Br,      265.8,  332.0
Kr,      115.8,  119.7
Rb,      312.5,  961.0
Sr,     1050.0, 1650.0
Y,     1799.0, 3203.0
Zr,     2128.0, 4650.0
Nb,     2750.0, 5017.0
Mo,     2896.0, 4912.0
Tc,     2430.0, 4538.0
Ru,     2607.0, 4423.0
Rh,     2237.0, 3968.0
Pd,     1828.1, 3236.0
Ag,     1234.9, 2483.0
Cd,      594.2, 1040.0
In,      429.8, 2345.0
Sn,      505.1, 2875.0
Sb,      903.8, 1908.0
Te,      722.7, 1261.0
I,      386.9,  457.4
Xe,      161.4,  165.1
Cs,      301.7,  944.0
Ba,     1000.0, 1910.0
La,     1193.0, 3737.0
Ce,     1068.0, 3716.0
Pr,     1208.0, 3403.0
Nd,     1297.0, 3347.0
Pm,     1315.0, 3273.0
Sm,        nan, 2173.0
Eu,     1099.0, 1802.0
Gd,     1585.0, 3273.0
Tb,     1629.0, 3396.0
Dy,     1680.0, 2840.0
Ho,     1734.0, 2873.0
Er,     1802.0, 3141.0
Tm,     1818.0, 2223.0
Yb,     1097.0, 1703.0
Lu,     1925.0, 3675.0
Hf,     2506.0, 4876.0
Ta,     3290.0, 5731.0
W,     3695.0, 6203.0
Re,     3459.0, 5869.0
Os,     3306.0, 5285.0
Ir,     2719.0, 4403.0
Pt,     2041.4, 4098.0
Au,     1337.3, 3243.0
Hg,      234.3,  629.9
Tl,      577.0, 1746.0
Pb,      600.6, 2022.0
Bi,      544.7, 1837.0
Po,      527.0, 1235.0
At,      575.0,  503.0
Rn,      202.0,  211.5
Fr,      281.0,  890.0
Ra,      973.0, 2010.0
Ac,     1323.0, 3471.0
Th,     2115.0, 5061.0
Pa,     1841.0,    nan
U,     1405.3, 4404.0
Np,      917.0, 4273.0
Pu,      912.5, 3501.0
Am,     1449.0, 2880.0
Cm,     1613.0, 3383.0
Bk,     1328.0,    nan
Cf,     1173.0,    nan
Es,     1133.0,    nan
Fm,     1800.0,    nan
Md,     1100.0,    nan
No,     1100.0,    nan
Lr,     1900.0,    nan
Rf,        nan,    nan
Db,        nan,    nan
Sg,        nan,    nan
Bh,        nan,    nan
Hs,        nan,    nan
Mt,        nan,    nan
Ds,        nan,    nan
Rg,        nan,    nan
Cn,        nan,    nan
Nh,        nan,    nan
Fl,        nan,    nan
Mc,        nan,    nan
Lv,        nan,    nan
Ts,        nan,    nan
Og,        nan,    nan
